"STORE","Yr","mon","dayCount"
9906,2004,8,1
4402,2004,9,1
8304,2005,3,1
7604,2005,7,1
8304,2004,8,1
7203,2004,8,3
6402,2005,3,11
5703,2005,4,16
3002,2005,3,16
1804,2004,12,17
4402,2004,11,17
4903,2004,10,17
1704,2005,4,21
3802,2004,9,21
5502,2004,9,22
3702,2004,9,23
3602,2004,9,23
5402,2004,9,23
4202,2004,9,24
3502,2004,9,24
5602,2004,9,24
4702,2004,9,25
6209,2005,3,26
2402,2004,9,26
2202,2004,9,26
9806,2004,9,26
5102,2004,9,26
2102,2004,9,26
1402,2004,8,26
2702,2004,9,26
2502,2004,9,26
2602,2004,9,26
5002,2004,9,26
3902,2004,9,26
5802,2005,8,26
4309,2005,8,27
6903,2005,8,27
5704,2005,8,27
4209,2005,8,27
204,2005,8,27
2304,2005,8,27
3707,2005,8,27
6902,2005,8,27
504,2005,8,27
4404,2005,8,27
7507,2005,8,27
9309,2005,8,27
7104,2005,8,27
5903,2005,8,27
7004,2005,8,27
5504,2005,8,27
3103,2005,8,27
9404,2005,8,27
903,2005,8,27
1109,2005,8,27
8102,2005,8,27
5402,2005,8,27
6004,2005,8,27
4902,2005,8,27
5004,2005,8,27
6402,2005,8,27
5304,2005,8,27
103,2005,8,27
3503,2005,8,27
7304,2005,8,27
1702,2005,8,27
9303,2005,8,27
2203,2005,8,27
8902,2005,8,27
802,2005,8,27
409,2005,8,27
9806,2005,8,27
1404,2005,8,27
8202,2005,8,27
4503,2005,8,27
4807,2005,8,27
5502,2005,8,27
404,2005,8,27
7702,2005,8,27
8403,2005,8,27
2602,2005,8,27
7103,2005,8,27
3004,2005,8,27
709,2005,8,27
6403,2005,8,27
5302,2004,9,27
9806,2005,1,27
3902,2005,8,27
407,2005,8,27
3809,2005,8,27
2407,2005,8,27
7704,2005,8,27
2409,2005,8,27
3603,2005,8,27
4407,2005,8,27
6703,2005,8,27
9304,2005,8,27
6203,2005,8,27
1502,2005,8,27
4204,2005,8,27
6209,2005,8,27
8802,2005,8,27
4202,2005,8,27
9609,2005,8,27
8703,2005,8,27
7102,2005,8,27
4604,2005,8,27
5602,2005,8,27
5503,2005,8,27
8702,2005,8,27
4904,2005,8,27
1307,2005,8,27
1304,2005,8,27
8109,2005,8,27
1509,2005,8,27
6304,2005,8,27
9806,2004,8,27
2209,2005,8,27
2104,2005,8,27
5803,2005,8,27
5202,2005,8,27
6904,2005,8,27
7707,2005,8,27
9504,2005,8,27
8609,2005,8,27
7502,2005,8,27
8302,2005,2,27
7703,2005,8,27
6302,2005,8,27
2904,2005,8,27
2907,2005,8,27
8503,2005,8,27
2402,2005,8,27
7107,2005,8,27
609,2005,8,27
7904,2005,8,27
7002,2005,8,27
1403,2005,8,27
6704,2005,8,27
6109,2005,8,27
1709,2005,8,27
1002,2005,8,27
1009,2005,8,27
2909,2005,8,27
8504,2005,8,27
2009,2005,8,27
203,2005,8,27
1607,2005,8,27
4603,2005,8,27
3509,2005,8,27
9603,2005,8,27
4104,2005,8,27
509,2005,8,27
2109,2005,8,27
6804,2005,8,27
5603,2005,8,27
6102,2005,8,27
5202,2004,9,27
9204,2005,8,27
7204,2005,8,27
3307,2005,8,27
2303,2005,8,27
809,2005,8,27
9806,2005,5,27
3807,2005,8,27
2307,2005,8,27
5203,2005,8,27
1407,2005,8,27
4004,2005,8,27
7807,2005,8,27
4907,2005,8,27
4703,2005,8,27
4109,2005,8,27
9806,2004,10,27
9103,2005,8,27
7907,2005,8,27
603,2005,8,27
8309,2005,8,27
8202,2005,2,27
8007,2005,8,27
4704,2005,8,27
107,2005,8,27
909,2005,8,27
3007,2005,8,27
8407,2005,8,27
6204,2005,8,27
8707,2005,8,27
2604,2005,8,27
5404,2005,8,27
8603,2005,8,27
8604,2005,8,27
9704,2005,8,27
2704,2005,8,27
2609,2005,8,27
5904,2005,8,27
8002,2005,8,27
1904,2005,8,27
2502,2005,8,27
2804,2005,8,27
2103,2005,8,27
5302,2005,8,27
9909,2005,8,27
4307,2005,8,27
8209,2005,8,27
302,2005,8,27
5103,2005,8,27
9302,2005,8,27
3207,2005,8,27
2504,2005,8,27
7804,2005,8,27
7307,2005,8,27
5104,2005,8,27
8602,2005,2,27
7402,2005,8,27
3702,2005,8,27
3303,2005,8,27
6604,2005,8,27
3109,2005,8,27
3502,2005,8,27
902,2005,8,27
907,2005,8,27
704,2005,8,27
8507,2005,8,27
3607,2005,8,27
3304,2005,8,27
3003,2005,8,27
4102,2005,8,27
2807,2005,8,27
3909,2005,8,27
7003,2005,8,27
4203,2005,8,27
7007,2005,8,27
4802,2005,8,27
7303,2005,8,27
1007,2005,8,27
503,2005,8,27
402,2005,8,27
2607,2005,8,27
3204,2005,8,27
5303,2005,8,27
1103,2005,8,27
1602,2005,8,27
6503,2005,8,27
2204,2005,8,27
2503,2005,8,27
5204,2005,8,27
2102,2005,8,27
3709,2005,8,27
4507,2005,8,27
9503,2005,8,27
3202,2005,8,27
5804,2005,8,27
9806,2005,2,27
7302,2005,8,27
1207,2005,8,27
6002,2005,8,27
8709,2005,8,27
3209,2005,8,27
7503,2005,8,27
2603,2005,8,27
1807,2005,8,27
6104,2005,8,27
309,2005,8,27
7403,2005,8,27
9002,2005,8,27
807,2005,8,27
7604,2005,8,27
9402,2005,8,27
3407,2005,8,27
3402,2004,9,27
4804,2005,8,27
2404,2005,8,27
3002,2005,8,27
4903,2005,8,27
8302,2005,8,27
9709,2005,8,27
3309,2005,8,27
2207,2005,8,27
1609,2005,8,27
1702,2004,9,27
6009,2005,8,27
7407,2005,8,27
4409,2005,8,27
3802,2005,8,27
2007,2005,8,27
4302,2005,8,27
3107,2005,8,27
8402,2005,8,27
4504,2005,8,27
2202,2005,8,27
8602,2005,8,27
1003,2005,8,27
1203,2005,8,27
7602,2005,8,27
4502,2005,8,27
9209,2005,8,27
304,2005,8,27
4707,2005,8,27
9202,2005,8,27
604,2005,8,27
8402,2005,2,27
8004,2005,8,27
202,2005,8,27
2809,2005,8,27
4402,2005,8,27
1402,2005,8,27
7902,2005,8,27
1102,2005,8,27
1703,2005,8,27
7603,2005,8,27
3504,2005,8,27
4303,2005,8,27
9104,2005,8,27
2004,2005,8,27
2707,2005,8,27
5802,2004,9,27
6404,2005,8,27
4803,2005,8,27
403,2005,8,27
4403,2005,8,27
4607,2005,8,27
303,2005,8,27
3009,2005,8,27
703,2005,8,27
1909,2005,8,27
9604,2005,8,27
3602,2005,8,27
1204,2005,8,27
3403,2005,8,27
3507,2005,8,27
4107,2005,8,27
4007,2005,8,27
507,2005,8,27
7202,2005,8,27
3302,2005,8,27
4702,2005,8,27
9002,2005,2,27
2509,2005,8,27
502,2005,8,27
3704,2005,8,27
209,2005,8,27
7404,2005,8,27
3609,2005,8,27
2702,2005,8,27
8409,2005,8,27
3409,2005,8,27
5604,2005,8,27
3604,2005,8,27
1302,2005,8,27
3804,2005,8,27
3402,2005,8,27
1107,2005,8,27
5403,2005,8,27
8204,2005,8,27
8404,2005,8,27
1202,2005,8,27
307,2005,8,27
3502,2005,2,27
1707,2005,8,27
5002,2005,8,27
1104,2005,8,27
5102,2005,8,27
707,2005,8,27
2309,2005,8,27
8607,2005,8,27
1004,2005,8,27
8803,2005,8,27
4003,2005,8,27
4102,2004,9,27
4207,2005,8,27
102,2005,8,27
4103,2005,8,27
9804,2005,8,27
3102,2005,8,27
6202,2005,8,27
9409,2005,8,27
2402,2005,2,28
3109,2005,2,28
3403,2005,2,28
8407,2005,2,28
3204,2005,2,28
6009,2005,2,28
1607,2005,2,28
9404,2005,2,28
4309,2005,2,28
2604,2005,2,28
4603,2005,2,28
9709,2005,2,28
1302,2005,2,28
2504,2005,2,28
2209,2005,2,28
502,2004,9,28
3402,2005,2,28
1904,2005,2,28
1509,2005,2,28
2203,2005,2,28
4902,2004,9,28
204,2005,2,28
4803,2005,2,28
5604,2005,2,28
2809,2005,2,28
7702,2005,2,28
5104,2005,2,28
9103,2005,2,28
5703,2005,2,28
9609,2005,2,28
2004,2005,2,28
9204,2005,2,28
9209,2005,2,28
4907,2005,2,28
3003,2005,2,28
5004,2005,2,28
404,2005,2,28
5102,2005,2,28
2009,2005,2,28
4504,2005,2,28
1207,2005,2,28
1002,2005,2,28
507,2005,2,28
4704,2005,2,28
5403,2005,2,28
309,2005,2,28
9302,2005,2,28
1002,2004,9,28
4204,2005,2,28
3704,2005,2,28
3509,2005,2,28
3807,2005,2,28
5803,2005,2,28
4807,2005,2,28
9303,2005,2,28
6109,2005,2,28
4207,2005,2,28
5503,2005,2,28
3707,2005,2,28
1404,2005,2,28
707,2005,2,28
609,2005,2,28
409,2005,2,28
2202,2005,2,28
4707,2005,2,28
807,2005,2,28
3202,2005,2,28
8902,2005,2,28
3207,2005,2,28
3107,2005,2,28
5204,2005,2,28
2707,2005,2,28
8404,2005,2,28
202,2005,2,28
6404,2005,2,28
4607,2005,2,28
1602,2005,2,28
4109,2005,2,28
8007,2005,2,28
8004,2005,2,28
1202,2004,9,28
3504,2005,2,28
3102,2005,2,28
4209,2005,2,28
3507,2005,2,28
4407,2005,2,28
4202,2005,2,28
303,2005,2,28
6503,2005,2,28
1004,2005,2,28
3909,2005,2,28
3009,2005,2,28
703,2005,2,28
7402,2005,2,28
7007,2005,2,28
8403,2005,2,28
4703,2005,2,28
2102,2005,2,28
902,2005,2,28
2904,2005,2,28
6302,2005,2,28
3302,2005,2,28
4102,2005,2,28
2607,2005,2,28
9604,2005,2,28
7804,2005,2,28
107,2005,2,28
3304,2005,2,28
4904,2005,2,28
7403,2005,2,28
5502,2005,2,28
8603,2005,2,28
7102,2005,2,28
5202,2005,2,28
1307,2005,2,28
8204,2005,2,28
6304,2005,2,28
1203,2005,2,28
4107,2005,2,28
8504,2005,2,28
5804,2005,2,28
7204,2005,2,28
2307,2005,2,28
1103,2005,2,28
3609,2005,2,28
9804,2005,2,28
7003,2005,2,28
7104,2005,2,28
2609,2005,2,28
402,2004,9,28
9409,2005,2,28
4409,2005,2,28
3307,2005,2,28
604,2005,2,28
7603,2005,2,28
6004,2005,2,28
302,2005,2,28
6803,2005,3,28
2907,2005,2,28
203,2005,2,28
7703,2005,2,28
302,2004,9,28
4502,2005,2,28
8102,2005,2,28
9104,2005,2,28
902,2004,9,28
1102,2005,2,28
9806,2005,3,28
8507,2005,2,28
7407,2005,2,28
6703,2005,2,28
8309,2005,2,28
704,2005,2,28
2103,2005,2,28
2104,2005,2,28
103,2005,2,28
3802,2005,2,28
5103,2005,2,28
6904,2005,2,28
4307,2005,2,28
4003,2005,2,28
3209,2005,2,28
9309,2005,2,28
3503,2005,2,28
504,2005,2,28
9806,2005,4,28
8703,2005,2,28
7507,2005,2,28
8707,2005,2,28
6902,2005,2,28
8709,2005,2,28
3602,2005,2,28
9402,2005,2,28
5504,2005,2,28
7503,2005,2,28
6903,2005,2,28
3809,2005,2,28
903,2005,2,28
502,2005,2,28
403,2005,2,28
2602,2005,2,28
4804,2005,2,28
1502,2005,2,28
5404,2005,2,28
4403,2005,2,28
1909,2005,2,28
4903,2005,2,28
1107,2005,2,28
6204,2005,2,28
2502,2005,2,28
7807,2005,2,28
5302,2005,2,28
8109,2005,2,28
2909,2005,2,28
4104,2005,2,28
1104,2005,2,28
2304,2005,2,28
1402,2005,2,28
5903,2005,2,28
4402,2005,2,28
8607,2005,2,28
5304,2005,2,28
4802,2004,9,28
4302,2005,2,28
6104,2005,2,28
3607,2005,2,28
4503,2005,2,28
3604,2005,2,28
5203,2005,2,28
9806,2005,7,28
3407,2005,2,28
2404,2005,2,28
3007,2005,2,28
7303,2005,2,28
2309,2005,2,28
5002,2005,2,28
7107,2005,2,28
2303,2005,2,28
6002,2005,2,28
4802,2005,2,28
7304,2005,2,28
4507,2005,2,28
2509,2005,2,28
6102,2005,2,28
304,2005,2,28
2702,2005,2,28
1709,2005,2,28
8409,2005,2,28
3603,2005,2,28
509,2005,2,28
2804,2005,2,28
4604,2005,2,28
3409,2005,2,28
8604,2005,2,28
1807,2005,2,28
5802,2005,2,28
3702,2005,2,28
7907,2005,2,28
4007,2005,2,28
2503,2005,2,28
1102,2004,9,28
2704,2005,2,28
6803,2005,2,28
8209,2005,2,28
7904,2005,2,28
4103,2005,2,28
1003,2005,2,28
2409,2005,2,28
7002,2005,2,28
209,2005,2,28
5303,2005,2,28
6202,2005,2,28
402,2005,2,28
1204,2005,2,28
4004,2005,2,28
5602,2005,2,28
3303,2005,2,28
9704,2005,2,28
7103,2005,2,28
6604,2005,2,28
503,2005,2,28
1109,2005,2,28
3004,2005,2,28
603,2005,2,28
102,2005,2,28
2407,2005,2,28
3709,2005,2,28
5603,2005,2,28
5402,2005,2,28
809,2005,2,28
1403,2005,2,28
9909,2005,2,28
9504,2005,2,28
1007,2005,2,28
4902,2005,2,28
3902,2005,2,28
9304,2005,2,28
3309,2005,2,28
4404,2005,2,28
1304,2005,2,28
6403,2005,2,28
6704,2005,2,28
9202,2005,2,28
2204,2005,2,28
407,2005,2,28
1704,2005,2,28
7202,2005,2,28
4202,2005,7,28
2007,2005,2,28
1702,2005,2,28
7502,2005,2,28
7602,2005,2,28
8702,2005,2,28
1202,2005,2,28
6804,2005,2,28
9603,2005,2,28
4303,2005,2,28
5904,2005,2,28
3103,2005,2,28
1302,2004,9,28
8609,2005,2,28
7307,2005,2,28
802,2004,9,28
7004,2005,2,28
1609,2005,2,28
3804,2005,2,28
102,2004,9,28
4203,2005,2,28
307,2005,2,28
909,2005,2,28
9503,2005,2,28
1707,2005,2,28
6203,2005,2,28
709,2005,2,28
7704,2005,2,28
2807,2005,2,28
7707,2005,2,28
1407,2005,2,28
907,2005,2,28
802,2005,2,28
8803,2005,2,28
9806,2004,11,28
7404,2005,2,28
5704,2005,2,28
2603,2005,2,28
7902,2005,2,28
1009,2005,2,28
4702,2005,2,28
2207,2005,2,28
202,2004,9,28
8503,2005,2,28
8002,2005,2,28
8802,2005,2,28
2109,2005,2,28
1703,2005,2,28
7302,2005,2,28
3007,2004,11,29
3207,2004,11,29
4404,2004,11,29
2809,2004,11,29
8604,2004,11,29
5802,2004,11,29
9804,2004,11,29
3403,2004,11,29
4802,2004,11,29
2303,2004,11,29
707,2004,11,29
1407,2004,11,29
902,2004,11,29
5304,2004,11,29
3304,2004,11,29
6404,2004,11,29
5202,2004,11,29
5604,2004,11,29
2609,2004,11,29
6304,2004,11,29
1909,2004,11,29
2102,2004,8,29
704,2004,11,29
3809,2004,11,29
2007,2004,11,29
6803,2004,11,29
7004,2004,11,29
507,2004,11,29
2009,2004,11,29
1702,2004,8,29
7307,2004,11,29
807,2004,11,29
7902,2004,9,29
8109,2004,11,29
3602,2004,11,29
102,2004,11,29
7302,2004,9,29
5904,2004,11,29
5402,2004,11,29
2204,2004,11,29
3303,2004,11,29
603,2004,11,29
7104,2004,11,29
8402,2004,11,29
209,2004,11,29
7502,2004,11,29
2103,2004,11,29
3402,2004,11,29
4403,2004,11,29
903,2004,11,29
8004,2004,11,29
302,2004,11,29
8507,2004,11,29
8504,2004,11,29
3003,2004,11,29
6109,2004,11,29
5004,2004,11,29
8702,2004,11,29
2109,2004,11,29
1402,2004,9,29
6104,2004,11,29
7703,2004,11,29
2907,2004,11,29
9309,2004,11,29
1807,2004,11,29
5502,2004,11,29
1103,2004,11,29
5504,2004,11,29
2102,2004,11,29
1104,2004,11,29
7807,2004,11,29
7402,2004,9,29
7202,2004,11,29
1609,2004,11,29
8202,2004,11,29
304,2004,11,29
7603,2004,11,29
5103,2004,11,29
2602,2004,11,29
6904,2004,11,29
7907,2004,11,29
2603,2004,11,29
8202,2004,9,29
4407,2004,11,29
6203,2004,11,29
3209,2004,11,29
8503,2004,11,29
9209,2004,11,29
1004,2004,11,29
7204,2004,11,29
5903,2004,11,29
103,2004,11,29
709,2004,11,29
2804,2004,11,29
4803,2004,11,29
4004,2004,11,29
2607,2004,11,29
2502,2004,11,29
6002,2004,11,29
9709,2004,11,29
4302,2004,11,29
1307,2004,11,29
3804,2004,11,29
4604,2004,11,29
3302,2004,11,29
4309,2004,11,29
303,2004,11,29
3807,2004,11,29
7107,2005,3,29
9909,2004,11,29
4607,2004,11,29
5203,2004,11,29
2203,2004,11,29
7904,2004,11,29
3009,2004,11,29
8602,2004,11,29
5303,2004,11,29
504,2004,11,29
8802,2004,11,29
6903,2004,11,29
907,2004,11,29
4703,2004,11,29
2503,2004,11,29
7402,2004,11,29
9609,2004,11,29
5503,2004,11,29
8407,2004,11,29
7403,2004,11,29
4807,2004,11,29
309,2004,11,29
3707,2004,11,29
4603,2004,11,29
1502,2004,8,29
3103,2004,11,29
9302,2004,11,29
1007,2004,11,29
7007,2004,11,29
3902,2004,11,29
4707,2004,11,29
9409,2004,11,29
8703,2004,11,29
2407,2004,11,29
3909,2004,11,29
1203,2004,11,29
2904,2004,11,29
3507,2004,11,29
1002,2004,11,29
8902,2004,11,29
1804,2004,11,29
403,2004,11,29
9202,2004,11,29
3307,2004,11,29
4504,2004,11,29
4702,2005,7,29
1703,2004,11,29
9603,2004,11,29
5602,2004,11,29
2402,2004,11,29
8603,2004,11,29
5204,2004,11,29
4104,2004,11,29
7202,2004,9,29
8802,2004,9,29
3702,2004,11,29
503,2004,11,29
4202,2004,11,29
8702,2004,9,29
7507,2004,11,29
2309,2004,11,29
9806,2005,6,29
1403,2004,11,29
2509,2004,11,29
6704,2004,11,29
2307,2004,11,29
4503,2004,11,29
9504,2004,11,29
5102,2004,11,29
1404,2004,11,29
2604,2004,11,29
6204,2004,11,29
3902,2005,7,29
402,2004,11,29
8404,2004,11,29
4907,2004,11,29
9104,2004,11,29
3504,2004,11,29
9503,2004,11,29
2807,2004,11,29
5104,2004,11,29
1207,2004,11,29
3609,2004,11,29
4103,2004,11,29
203,2004,11,29
9404,2004,11,29
703,2004,11,29
3204,2004,11,29
5703,2004,11,29
8707,2004,11,29
802,2004,11,29
1602,2004,11,29
8007,2004,11,29
502,2004,11,29
1204,2004,11,29
7902,2004,11,29
3502,2004,11,29
6703,2004,11,29
9402,2004,11,29
7102,2004,9,29
7002,2004,9,29
2202,2004,11,29
3202,2004,11,29
4802,2005,7,29
2104,2004,11,29
4904,2004,11,29
202,2004,11,29
4109,2004,11,29
1304,2004,11,29
307,2004,11,29
4207,2004,11,29
1702,2004,11,29
1302,2004,11,29
6604,2004,11,29
909,2004,11,29
7704,2004,11,29
1709,2004,11,29
2004,2004,11,29
4903,2004,11,29
7702,2004,11,29
8102,2004,11,29
2702,2004,11,29
4307,2004,11,29
204,2004,11,29
3102,2004,11,29
4107,2004,11,29
7503,2004,11,29
4902,2004,11,29
8709,2004,11,29
3503,2004,11,29
9604,2004,11,29
7707,2004,11,29
4702,2004,11,29
404,2004,11,29
9002,2004,9,29
3607,2004,11,29
6202,2004,11,29
4203,2004,11,29
3109,2004,11,29
1109,2004,11,29
4804,2004,11,29
604,2004,11,29
8204,2004,11,29
2909,2004,11,29
6302,2004,11,29
8302,2004,9,29
8309,2004,11,29
3704,2004,11,29
3309,2004,11,29
2707,2004,11,29
5703,2004,12,29
5803,2004,11,29
3509,2004,11,29
5002,2004,11,29
2409,2004,11,29
1509,2004,11,29
9304,2004,11,29
4409,2004,11,29
7002,2004,11,29
6009,2004,11,29
2504,2004,11,29
7103,2004,11,29
6403,2004,11,29
9204,2004,11,29
7602,2004,11,29
9002,2004,11,29
4003,2004,11,29
6503,2004,11,29
4007,2004,11,29
7302,2004,11,29
3407,2004,11,29
9103,2004,11,29
2207,2004,11,29
8209,2004,11,29
8403,2004,11,29
5404,2004,11,29
2704,2004,11,29
4209,2004,11,29
4507,2004,11,29
407,2004,11,29
1202,2004,11,29
5302,2004,11,29
4303,2004,11,29
6902,2004,11,29
6804,2004,11,29
9303,2004,11,29
3709,2004,11,29
3604,2004,11,29
8302,2004,11,29
8409,2004,11,29
5603,2004,11,29
7407,2004,11,29
7304,2004,11,29
7003,2004,11,29
8607,2004,11,29
1102,2004,11,29
107,2004,11,29
4204,2004,11,29
8609,2004,11,29
1402,2004,11,29
7107,2004,11,29
5804,2004,11,29
2404,2004,11,29
9704,2004,11,29
809,2004,11,29
3409,2004,11,29
5704,2004,11,29
509,2004,11,29
3004,2004,11,29
7804,2004,11,29
1009,2004,11,29
2304,2004,11,29
7404,2004,11,29
6004,2004,11,29
2209,2004,11,29
4704,2004,11,29
3802,2004,11,29
3603,2004,11,29
6102,2004,11,29
1607,2004,11,29
1904,2004,11,29
1707,2004,11,29
4502,2004,11,29
8002,2004,11,29
409,2004,11,29
8803,2004,11,29
7303,2004,11,29
5403,2004,11,29
1107,2004,11,29
